,Company,PriceRs.,Day HighRs.
0,Solarium Green Energ,222.45,222.45
1,Aarvee Denims & Exp.,152.50,159.90
2,Amwill Health Care,99.25,101.30
3,Osiajee Texfab,100.20,103.60
4,Yuvraaj Hygiene Prod,9.51,9.51
5,Colab Platforms,54.60,54.60
6,City Pulse Multiven.,1277.00,1277.00
7,Indokem,167.00,168.00
8,Aayush Art And Bull.,765.00,765.00
9,Solitaire Machine,137.00,148.85
10,Cupid Brew.&Dist,133.80,133.90
11,Gowra Leasing & Fin,103.49,103.49
12,Aveer Foods,681.00,725.00
13,Kothari Indl. Corp,125.45,128.00
